ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 7317634, 0, 784, 309376, 2, 360, 424
rtr_0x0, send_packet_count, port0, Accumulator, 7317634, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 7317634, 0, 7291634, 19971554884890, 3, 1447765, 3554441
rtr_0x0, width_adj_count, port0, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 7317634, 0, 784, 309376, 2, 360, 424
rtr_0x0, send_packet_count, port2, Accumulator, 7317634, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 7317634, 0, 7291634, 20225584977486, 3, 1317131, 3554441
rtr_0x0, width_adj_count, port2, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 7317634, 0, 1568, 618752, 4, 360, 424
rtr_0x0, send_packet_count, port4, Accumulator, 7317634, 0, 4, 4, 4, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 7317634, 0, 7265634, 12545472477426, 5, 597851, 2262228
rtr_0x0, width_adj_count, port4, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 7317634, 0, 0, 0, 0, 0, 0
