ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 7671481133, 0, 11304, 16262208, 9, 744, 1896
rtr_0x0, send_packet_count, port0, Accumulator, 7671481133, 0, 9, 9, 9, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 7671481133, 0, 7671361163, 10814017553781901787, 10, 117603, 4152221405
rtr_0x0, width_adj_count, port0, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 7671481133, 0, 206192, 493517568, 235, 360, 3632
rtr_0x0, send_packet_count, port1, Accumulator, 7671481133, 0, 235, 235, 235, 1, 1
rtr_0x0, output_port_stalls, port1, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 7671481133, 0, 7669191039, 425998595856435509, 236, 125601, 398157343
rtr_0x0, width_adj_count, port1, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 7671481133, 0, 240960, 529548032, 267, 360, 3632
rtr_0x0, send_packet_count, port2, Accumulator, 7671481133, 0, 267, 267, 267, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 7671481133, 0, 7668825797, 307601070443207669, 268, 1633869, 166479736
rtr_0x0, width_adj_count, port2, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 7671481133, 0, 335160, 1318416960, 105, 1016, 4280
rtr_0x0, send_packet_count, port3, Accumulator, 7671481133, 0, 105, 105, 105, 1, 1
rtr_0x0, output_port_stalls, port3, Accumulator, 7671481133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 7671481133, 0, 7667935353, 16874745872873699697, 106, 2279478, 7332201333
