ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 1210569133, 0, 541352, 1811934528, 340, 360, 4280
rtr_0x0, send_packet_count, port1, Accumulator, 1210569133, 0, 340, 340, 340, 1, 1
rtr_0x0, output_port_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 1210569133, 0, 1204733259, 14403570956918349, 341, 126401, 71413336
rtr_0x0, width_adj_count, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port3, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port3, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port3, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port8, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port8, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port8, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port8, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port8, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port9, Accumulator, 1210569133, 0, 243408, 530560640, 273, 360, 3632
rtr_0x0, send_packet_count, port9, Accumulator, 1210569133, 0, 273, 273, 273, 1, 1
rtr_0x0, output_port_stalls, port9, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port9, Accumulator, 1210569133, 0, 1207885804, 38214601426495144, 274, 125068, 153710936
rtr_0x0, width_adj_count, port9, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port10, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port10, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port10, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port10, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port10, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port11, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port11, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port11, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port11, Accumulator, 1210569133, 0, 1210569133, 1465477625772371689, 1, 1210569133, 1210569133
rtr_0x0, width_adj_count, port11, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port16, Accumulator, 1210569133, 0, 781032, 2339823680, 607, 360, 4280
rtr_0x0, send_packet_count, port16, Accumulator, 1210569133, 0, 607, 607, 607, 1, 1
rtr_0x0, output_port_stalls, port16, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port16, Accumulator, 1210569133, 0, 1202093919, 2684553836409781, 608, 126401, 16329868
rtr_0x0, width_adj_count, port16, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
